|                               stat. Methods | American Journal of Sociology | american_journal_of_sociology_1col |         bmc_1col |         bmj_2col |          chi_1col | cognitive_psychology_1col | eujoupract_2col | Journal of Management | journal_eco_behavior_1col | journal_of_management_1col |       lancet_2col | Management of Science | management_science_2col |         mja_3col |        nejm_2col |
|                                     McNemar |                           0.0 |                                0.0 | 0.00340715502555 |  0.0222693531283 |  0.00283471434802 |                       0.0 |             0.0 |                   0.0 |           0.0135135135135 |                        0.0 |    0.004914004914 |                   0.0 |                     0.0 |  0.0116279069767 | 0.00186741363212 |
|                                      ANCOVA |                           0.0 |                                0.0 |  0.0289608177172 |  0.0286320254507 |  0.00806803314435 |                       0.0 |             0.0 |       0.0277777777778 |           0.0045045045045 |            0.0277777777778 |   0.0159705159705 |      0.00549450549451 |        0.00549450549451 |              0.0 |  0.0102707749767 |
|     Receiver Operating Characteristic Curve |               0.0918367346939 |                    0.0918367346939 |   0.315161839864 |   0.174973488865 |   0.0972525076319 |                      0.15 |  0.235294117647 |        0.208333333333 |            0.279279279279 |             0.208333333333 |    0.177723177723 |        0.175824175824 |          0.175824175824 |  0.0639534883721 |   0.190476190476 |
|                      Decision tree analysis |                           0.0 |                                0.0 | 0.00340715502555 | 0.00212089077413 |               0.0 |                       0.0 |             0.0 |                   0.0 |                       0.0 |                        0.0 |               0.0 |                   0.0 |                     0.0 |              0.0 |              0.0 |
|                                       Kappa |                           0.0 |                                0.0 |  0.0749574105622 |  0.0233297985154 |   0.0346707370257 |                      0.05 |  0.117647058824 |       0.0277777777778 |           0.0045045045045 |            0.0277777777778 |    0.004914004914 |      0.00549450549451 |        0.00549450549451 |  0.0116279069767 |  0.0121381886088 |
|                                      U test |              0.00510204081633 |                   0.00510204081633 |   0.109028960818 |   0.102863202545 |   0.0300915830789 |                     0.025 | 0.0588235294118 |                   0.0 |           0.0855855855856 |                        0.0 |   0.0184275184275 |      0.00549450549451 |        0.00549450549451 |  0.0348837209302 |  0.0289449112979 |
|                           Linear regression |               0.0204081632653 |                    0.0204081632653 |   0.170357751278 |   0.146341463415 |   0.0466637592673 |                      0.15 | 0.0294117647059 |        0.277777777778 |            0.103603603604 |             0.277777777778 |    0.023751023751 |       0.0824175824176 |         0.0824175824176 |  0.0232558139535 |  0.0140056022409 |
|                               Random effect |               0.0204081632653 |                    0.0204081632653 |   0.112436115843 |    0.11558854719 |   0.0180985608373 |                     0.275 |             0.0 |        0.152777777778 |            0.171171171171 |             0.152777777778 |    0.002457002457 |       0.0824175824176 |         0.0824175824176 |   0.046511627907 |  0.0112044817927 |
|                         Logistic regression |               0.0357142857143 |                    0.0357142857143 |   0.216354344123 |   0.296924708378 |   0.0204971652857 |                     0.175 |  0.294117647059 |       0.0138888888889 |           0.0675675675676 |            0.0138888888889 |   0.0520065520066 |       0.0879120879121 |         0.0879120879121 |   0.151162790698 |  0.0270774976657 |
|                                 Correlation |                0.132653061224 |                     0.132653061224 |   0.533219761499 |   0.383881230117 |    0.212167466201 |                     0.375 |  0.411764705882 |        0.819444444444 |            0.513513513514 |             0.819444444444 |    0.105651105651 |        0.582417582418 |          0.582417582418 |   0.191860465116 |  0.0821661998133 |
|                              Kruskal-Wallis |              0.00510204081633 |                   0.00510204081633 |  0.0494037478705 |  0.0318133616119 |   0.0135194068905 |                       0.0 |             0.0 |                   0.0 |                       0.0 |                        0.0 |  0.00614250614251 |                   0.0 |                     0.0 |              0.0 |              0.0 |
|                                    Miettine |                           0.0 |                                0.0 | 0.00851788756388 | 0.00318133616119 |  0.00152638464893 |                       0.0 | 0.0294117647059 |                   0.0 |           0.0135135135135 |                        0.0 |   0.0012285012285 |                   0.0 |                     0.0 |              0.0 | 0.00280112044818 |
|                            Cluster analysis |              0.00510204081633 |                   0.00510204081633 |  0.0204429301533 |  0.0106044538706 |  0.00675970344527 |                       0.1 |             0.0 |       0.0138888888889 |          0.00900900900901 |            0.0138888888889 |    0.002457002457 |        0.021978021978 |          0.021978021978 |              0.0 | 0.00093370681606 |
|                           Survival analysis |                           0.0 |                                0.0 |  0.0494037478705 |  0.0540827147402 |  0.00174443959878 |                       0.0 | 0.0882352941176 |                   0.0 |          0.00900900900901 |                        0.0 |   0.0298935298935 |                   0.0 |                     0.0 |  0.0174418604651 |  0.0280112044818 |
|                                  Dum's test |                           0.0 |                                0.0 |              0.0 |              0.0 |               0.0 |                       0.0 |             0.0 |                   0.0 |                       0.0 |                        0.0 |               0.0 |                   0.0 |                     0.0 |              0.0 |              0.0 |
|                           Post hoc analysis |               0.0663265306122 |                    0.0663265306122 |  0.0749574105622 |  0.0583244962884 |   0.0695595290013 |                     0.075 | 0.0294117647059 |       0.0833333333333 |            0.018018018018 |            0.0833333333333 |   0.0176085176085 |        0.021978021978 |          0.021978021978 |  0.0290697674419 |  0.0373482726424 |
|                                 Sensitivity |               0.0969387755102 |                    0.0969387755102 |   0.488926746167 |   0.413573700954 |    0.130832969908 |                     0.475 |  0.147058823529 |        0.444444444444 |            0.288288288288 |             0.444444444444 |    0.195741195741 |        0.335164835165 |          0.335164835165 |   0.255813953488 |    0.21568627451 |
| Classification and regression tree analysis |                           0.0 |                                0.0 | 0.00851788756388 | 0.00212089077413 | 0.000218054949847 |                       0.0 |             0.0 |                   0.0 |                       0.0 |                        0.0 |               0.0 |                   0.0 |                     0.0 |              0.0 |              0.0 |
|                                      MANOVA |                           0.0 |                                0.0 | 0.00851788756388 | 0.00742311770944 |   0.0220235499346 |                     0.025 |             0.0 |       0.0138888888889 |          0.00900900900901 |            0.0138888888889 |    0.002457002457 |      0.00549450549451 |        0.00549450549451 | 0.00581395348837 |              0.0 |
|                                      t-test |               0.0714285714286 |                    0.0714285714286 |   0.330494037479 |    0.24178154825 |    0.166375926734 |                      0.35 |  0.235294117647 |        0.208333333333 |            0.157657657658 |             0.208333333333 |    0.046683046683 |        0.203296703297 |          0.203296703297 |   0.145348837209 |   0.047619047619 |
|                             Mantel-Haenszel |                           0.0 |                                0.0 | 0.00170357751278 | 0.00318133616119 |               0.0 |                       0.0 | 0.0294117647059 |                   0.0 |                       0.0 |                        0.0 | 0.000819000819001 |                   0.0 |                     0.0 |              0.0 |   0.014939309057 |
