|                               stat. Methods | American Journal of Sociology | american_journal_of_sociology_1col |         bmc_1col |         bmj_2col |          chi_1col | cognitive_psychology_1col | eujoupract_2col | Journal of Management | journal_eco_behavior_1col | journal_of_management_1col |       lancet_2col | Management of Science | management_science_2col |         mja_3col |         nejm_2col |
|                                 Correlation |                0.122448979592 |                     0.122448979592 |   0.533219761499 |   0.387062566278 |    0.211903204709 |                     0.375 |  0.441176470588 |        0.819444444444 |            0.518018018018 |             0.819444444444 |    0.103603603604 |        0.571428571429 |          0.571428571429 |   0.191860465116 |   0.0921787709497 |
|                              Kruskal-Wallis |              0.00510204081633 |                   0.00510204081633 |  0.0511073253833 |  0.0318133616119 |   0.0137344669719 |                       0.0 |             0.0 |                   0.0 |                       0.0 |                        0.0 |  0.00573300573301 |                   0.0 |                     0.0 |              0.0 |               0.0 |
|                                    Miettine |                           0.0 |                                0.0 | 0.00851788756388 | 0.00318133616119 |  0.00174405929802 |                       0.0 | 0.0294117647059 |                   0.0 |           0.0135135135135 |                        0.0 |   0.0012285012285 |                   0.0 |                     0.0 |              0.0 |  0.00279329608939 |
|                            Cluster analysis |              0.00510204081633 |                   0.00510204081633 |  0.0204429301533 |  0.0106044538706 |  0.00610420754306 |                       0.1 |             0.0 |       0.0138888888889 |          0.00900900900901 |            0.0138888888889 |    0.002457002457 |        0.021978021978 |          0.021978021978 |              0.0 | 0.000931098696462 |
|                           Survival analysis |                           0.0 |                                0.0 |  0.0579216354344 |  0.0551431601273 |  0.00174405929802 |                       0.0 | 0.0882352941176 |                   0.0 |          0.00900900900901 |                        0.0 |   0.0249795249795 |                   0.0 |                     0.0 |  0.0116279069767 |   0.0186219739292 |
|                                  Dum's test |                           0.0 |                                0.0 |              0.0 |              0.0 |               0.0 |                       0.0 |             0.0 |                   0.0 |                       0.0 |                        0.0 |               0.0 |                   0.0 |                     0.0 |              0.0 |               0.0 |
|                           Post hoc analysis |               0.0612244897959 |                    0.0612244897959 |  0.0749574105622 |  0.0498409331919 |   0.0590800087203 |                     0.075 | 0.0294117647059 |       0.0555555555556 |            0.018018018018 |            0.0555555555556 |    0.011466011466 |       0.0164835164835 |         0.0164835164835 |  0.0232558139535 |   0.0344506517691 |
|                                 Sensitivity |               0.0765306122449 |                    0.0765306122449 |   0.500851788756 |   0.402969247084 |    0.126880313931 |                       0.4 |  0.176470588235 |        0.458333333333 |             0.27027027027 |             0.458333333333 |    0.205569205569 |        0.318681318681 |          0.318681318681 |   0.255813953488 |    0.222532588454 |
| Classification and regression tree analysis |                           0.0 |                                0.0 |  0.0102214650767 | 0.00212089077413 |               0.0 |                       0.0 |             0.0 |                   0.0 |                       0.0 |                        0.0 |               0.0 |                   0.0 |                     0.0 |              0.0 |               0.0 |
|                                      MANOVA |                           0.0 |                                0.0 | 0.00851788756388 | 0.00636267232238 |   0.0209287115762 |                     0.025 |             0.0 |       0.0138888888889 |          0.00900900900901 |            0.0138888888889 |    0.002457002457 |      0.00549450549451 |        0.00549450549451 |              0.0 |               0.0 |
|                                      t-test |               0.0714285714286 |                    0.0714285714286 |   0.339011925043 |   0.224814422057 |    0.165685633312 |                      0.35 |  0.235294117647 |        0.194444444444 |            0.153153153153 |             0.194444444444 |    0.043407043407 |        0.186813186813 |          0.186813186813 |   0.133720930233 |   0.0493482309125 |
|                             Mantel-Haenszel |                           0.0 |                                0.0 |  0.0204429301533 |   0.016967126193 | 0.000218007412252 |                       0.0 |             0.0 |                   0.0 |                       0.0 |                        0.0 |  0.00859950859951 |                   0.0 |                     0.0 |              0.0 |               0.0 |
